Store Name (EN),Store Name (AR),Industry,Potential,Potential Score,Website,Emails,Phone Numbers,WhatsApp,Instagram,Twitter/X,TikTok,Snapchat,Categories,Online Presence,On Tabby,On Tamara,Tabby Directory Link,BNPL Services,Website Status,Description
,متجر ثقا للذهب و المجوهرات,Fashion & Apparel,Medium,40,https://thiqastore.com,,,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mtjr-thqa-llthhb-w-almjwhrat-01895307-a808-55f6-bda6-2337995b4ad8,split-in-4,ok,Thiqa for Gold and Jewelry is a store for anyone seeking beauty and high taste. Our products are designed because they suit you.
,متجر درة اللحوم,Grocery & Supermarket,Medium,40,https://doraelhoam.com,,,,,,,,"Others, Supermarket",Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-dr-ljwyd-lltjr-01938cdb-3761-0edb-c05d-151541852eb0,,ok,
,متجر دكان سبح SAU,Fashion & Apparel,Medium,40,https://dukanrosary.com,,,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mtjr-dkan-sbh-sau-018952e1-d7a2-b3db-0445-ea89c0dd3576,split-in-4,ok,"Dukkan Subh offers the finest types of prayer beads in the world, aiming to provide you with the best and most beautiful selections. Our store features both natural and manufactured prayer beads of hi"
,متجر سيما,Fashion & Apparel,Medium,40,https://seyma-nht.com,,,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/simanht ,split-in-4,ok,
,متجر شيك وير,Fashion & Apparel,Medium,40,https://chicwear.sa,,,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mtjr-shyk-wyr-018d4f4f-1f03-6f3c-0597-69bba0832b00,split-in-4,ok,"Chic Wear is a Saudi online store dedicated to offering high-quality shoes and clothing at competitive prices, with fast delivery."
,متجر مؤسسة قرآن للنشر والتوزيع الدولية,Unclassified,Medium,40,https://quranpb.com,,,,,,,, متاجر متنوعة,Online store,,Yes,,,ok,
,متجر مكس وايد,Fashion & Apparel,Medium,40,https://mixwid.com,,,,,,,,"Automotive, Beauty & Health, Electronics, Fashion, Kids & Toys",Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mixwid,split-in-4,ok,
,متجر هـبـه,Fashion & Apparel,Medium,40,https://salla.sa/habahsa,,,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mtjr-hbh-0189539f-72fb-7ec4-de62-b58a59b2826e,split-in-4,ok,Specialists in providing the latest and most in-demand shoes globally
,متجر هواوي الشرقية,Electronics & Tech,Medium,40,https://official-huaweistore.com,,,,,,,,Electronics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mtjr-hwawy-alshrqyh-0189549c-1134-3631-1b1e-446eb87ce949,split-in-4,ok,
,متجر وسق,"Home, Furniture & Appliances",Medium,40,https://wasq-store.com,,,,,,,,Home & Appliances,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mtjr-wsq-0189548d-1635-2e96-177a-7ee5fb9b3dc6,split-in-4,ok,
,متجرك Your Store,Fashion & Apparel,Medium,40,https://mtgrkvip.com,,,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mtjrk-your-store-01919306-5989-ed06-0af2-63a7bdc6a552,,ok,An online store specializing in men's rings and the finest types of silver and authentic Yemeni agate in Saudi Arabia. Enjoy special offers and discounts in celebration of the National Day.
,مجموعة السويكت,Electronics & Tech,Medium,40,https://swekt.com,,,,,,,,Electronics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mjmwah-alswykt-018952c2-d780-ea47-574f-0c6914ee065c,split-in-4,ok,
,مجوهرات علاء,Fashion & Apparel,Medium,40,https://alaajewelry.com,,,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mjwhrat-alaa-018e7059-87d6-497c-eaa9-cbbd036df9de,"paymentLink, split-in-4",ok,Elevate your style with the finest jewelry from Alaa. Browse our new collection and shop your favorite pieces. Discover a wide range of the stunning Lazurde collection available in our store.
,محل محمد جعفر القطان للتجارة,Beauty & Personal Care,Medium,40,https://alqatan.store,,,,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mhl-mhmd-jafr-alqtan-lltjarh-018f7bed-739c-fa65-e43e-15eb255cd391,split-in-4,ok,Care for hair and skin.
,مركز أمواج الشمال لصيانة السيارات,Automotive,Medium,40,https://salla.sa/mrkz-amwag-alshmal,,,,,,,,Automotive,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mrkz-mwj-lshml-lsyn-lsyrt-01929478-1fb3-f402-9365-1a7825f50ab8,split-in-4,ok,
,مركز اقصى لياقة الرياضي,Sports & Fitness,Medium,40,https://maxfitness-ma.com,,,,,,,,Fitness & Outdoor,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mrkz-aqsa-lyaqh-alryadhy-01890d36-7d49-236d-e38e-060d61418260,split-in-4,ok,Specialist in sports clubs
,معصم | Measam,General Retail,Medium,40,https://measamshop.com,,,,,,,,Others,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/masm-or-measam-0189543d-df3b-4eaa-ceec-df66ea726f20,split-in-4,ok,A brand that specializes in selling Apple Watch bands inspired by Saudi heritage.
,مفارش الأول,"Home, Furniture & Appliances",Medium,40,https://alawalfactory.com.sa,,,,,,,,Home & Appliances,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/alawal-factory,split-in-4,ok,
,مقهى و محمصة بن,Unclassified,Medium,40,https://bonksa.com,,,,,,,, متاجر متنوعة,Online store,,Yes,,,ok,
,موسسة البعد الرقمي,Beauty & Personal Care,Medium,40,https://raya-perfume.com,,,,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mwssh-albad-alrqmy-0190e400-7a35-a561-facb-aa405ddfa411,split-in-4,ok,Our expertise in perfumes is blended and presented in exquisite bottles that resonate with your taste in an atmosphere filled with refinement.
,موسسة حروف العسف للتجارة,Beauty & Personal Care,Medium,40,https://salla.sa/alnayef.oud,,,,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mwssh-hrwf-alasf-lltjarh-018e935c-32e1-be3a-99a9-cd0b3a29c22f,,ok,"This merchant offers a diverse range of products across various categories, providing customers with high-quality options to meet their needs."
,موسسة دكتور مجنون للتجارة,Electronics & Tech,Medium,40,https://doctormagnon.com,,,,,,,,Electronics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mwssh-dktwr-mjnwn-lltjarh-01895297-26d1-b87d-cc93-cf9e71f845c8,split-in-4,ok,The main page
,موسسة فايزة محمد بن محجب سالمي التجارية,Fashion & Apparel,Medium,40,https://king-sa.com,,,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mwssh-fayzh-mhmd-bn-mhjb-salmy-altjaryh-018edc9e-3c15-c5ba-adaf-275c26ce76fb,split-in-4,ok,"Our team is committed to providing the best and most affordable sports supplies with high quality. Through our website, we aim to make your shopping experience easier, offering you the opportunity to "
,موسى صالح الحربي للتجارة,Grocery & Supermarket,Medium,40,https://samra2.com,,,,,,,,Supermarket,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mwsa-salh-alhrby-lltjarh-018ffbf6-928f-918f-020f-10040bab3762,split-in-4,ok,"SAMRA store is your ideal destination for specialty coffee lovers. We specialize in offering a diverse selection of the finest specialty coffees, characterized by their unique flavors and high quality"
,نجد كوم,"Home, Furniture & Appliances",Medium,40,https://najd1.com,,,,,,,,Home & Appliances,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/njd-kwm-018952c9-c223-a314-7406-c19bf1eab57a,split-in-4,ok,
,نقشة,Fashion & Apparel,Medium,40,https://nagshadesigns.com,,,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/nqshh-0189537d-2d19-a18f-45ce-8b97d2aebe62,split-in-4,ok,"A Saudi Arabian brand established in 2014, we pride ourselves on our modern apparel and unique patterns with an Arabic essence. Our designs are always beautiful on you!"
,هوجاس,Fashion & Apparel,Medium,40,https://hugas.co,,,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/hwjs-0191c0d2-4b62-888f-a3d0-35004cf4ce80,split-in-4,ok,
,هيمي,General Retail,Medium,40,https://hemi.coffee,,,,,,,,Others,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/hymy-01895369-4e56-9f97-46e8-6b18f0cf676e,split-in-4,ok,We offer a variety of carefully selected and expertly roasted coffee beans to ensure you receive a coffee that satisfies your taste.
,ورشة لورد لصيانة السيارات,Automotive,Medium,40,https://lord-workshop.com,,,,,,,,Automotive,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/lord-for-car-maintenance,split-in-4,ok,"Lord's workshop for painting, and auto restoration, offers you the finest types of products at reasonable prices"
,وكالة اليفن للدعاية والاعلان,Fashion & Apparel,Medium,40,https://ultrasfit.com,,,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/wkl-lyfn-lld-y-wl-ln-019218c5-47c3-41b3-a317-381643e628dd,split-in-4,ok,
,ون لوك,Unclassified,Medium,40,https://1looksa.com,,,,,,,,الملابس,Online store,,Yes,,,ok,
,ياهلا,General Retail,Medium,40,https://yaahlaa.com,,,,,,,,Others,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/yahla-018952a3-017f-edfa-be9a-82c3572c40e5,split-in-4,ok,"A specialized store offering makeup, contact lenses, body care, skin care, and perfumes at the best prices."
ٍSTAGE,ٍSTAGE,Flowers & Gifts,Medium,40,https://stage-sa.com,,,,,,,,Flowers & Gifts,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/enstage-018a6427-e24d-6e68-2025-033b5114420c,split-in-4,ok,
,ﻣؤﺳﺳﺔ ﺑدر وﻟﯾد ﻣﺣﻣد ﺑن ﻧﺻﯾب ﻟﻠﺗﺟﺎرة,Beauty & Personal Care,Medium,40,https://fwaah.com,,,,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/u-dr-wd-d-n-b-rh-0191d0ff-382a-10d3-70ca-ba5b0760b5bc,split-in-4,ok,"Fawah is a specialized store offering a selection of original international perfumes, featuring an exquisite range of men's and women's fragrances."
,.السفيرة,Fashion & Apparel,Low,35,https://alsfeerah.com,,,,,,,,"Fashion, الملابس",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/.alsfyrh-0189522e-5ee2-5a76-d638-255fa2978f10,"paymentLink, split-in-4",URLError,
101 Essentials,101 Essentials,Beauty & Personal Care,Low,35,https://instagram.com/101_essentials_sa,,,,https://instagram.com/101_essentials_sa,,,,Beauty & Health,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/101-essentials-0192f5f7-28e9-6659-45a2-d9786aad47c3,"paymentLink, split-in-4",skipped_social,
Abaad,ابعاد,Fashion & Apparel,Low,35,https://instagram.com/abaadstores,,,,https://instagram.com/abaadstores,,,,Fashion,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/w-l-rr-t-0193877f-c704-54c9-e447-d437b5b28cfe,"paymentLink, split-in-4",skipped_social,
Abukhadeeja Gemstone,أبو خديجة للاحجار الكريمة,Fashion & Apparel,Low,35,https://instagram.com/mohammed_abukhadeeja,,,,https://instagram.com/mohammed_abukhadeeja,,,,Fashion,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/abukhadeeja-gemstone-01932290-aa36-c182-9747-8f97d3698d5d,"paymentLink, split-in-4",skipped_social,
ACRES ROASTER,محمصة ايكرز,General Retail,Low,35,https://instagram.com/ACRES_SA,,,,https://instagram.com/acres_sa,,,,"Others, Restaurants",Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-ltmyz-lfy-q-ltjry-01930c08-b955-c086-4450-8732c93d414f,"paymentLink, split-in-4",skipped_social,
Adore beauty lounge,Adore beauty lounge,Beauty & Personal Care,Low,35,https://instagram.com/adorebeauty.sa/profilecard?igsh=MTRhZnJ6cGsxcDNiOQ==,,,,https://instagram.com/adorebeauty.sa,,,,Beauty & Health,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/adore-beauty-lounge-0193857f-7fbb-6131-d9d7-aeab3bf31f38,"paymentLink, split-in-4",skipped_social,
AHLA HALA,AHLA HALA,Grocery & Supermarket,Low,35,https://instagram.com/i_ahlahala?igsh=MTEwM2dkeGNhbWhyZg==,,,,https://instagram.com/i_ahlahala,,,,Supermarket,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/ahla-hala-0190c4a9-e1b5-ae33-0d01-d303e6d0d115,"paymentLink, split-in-4",skipped_social,
Ahlam Rèves Salon,صالون أحلام ريفيز,Beauty & Personal Care,Low,35,https://instagram.com/ahlam_reves_salon?igsh=NXU4M3d6a3FxZzhy,,,,https://instagram.com/ahlam_reves_salon,,,,Beauty & Health,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/slwn-hlm-mr-lltzyyn-lnsy-y-019219ff-1ee6-ba1a-48ff-69e6053a5a9f,"paymentLink, split-in-4",skipped_social,
ahmc,مجمع الحرميين الطبي,Beauty & Personal Care,Low,35,https://ahmc.store/ar,,,,,,,,"Clinics, Health & Wellness",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/mjma-alhrmyyn-altby-01895398-1334-8156-4e53-662c9835f1cb,"paymentLink, split-in-4",URLError,"Providing comprehensive and integrated healthcare services through the use of the latest medical technology, aiming to meet patient needs and enhance community health awareness."
Ahoud Center,Ahoud Center,Beauty & Personal Care,Low,35,https://instagram.com/ahoud_center,,,,https://instagram.com/ahoud_center,,,,Beauty & Health,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/ahoud-center-0193a1b7-688f-f179-e7cf-bb16d058dbb5,"paymentLink, split-in-4",skipped_social,
Aiady,Aiady,Beauty & Personal Care,Low,35,https://instagram.com/aiadyspa?hl=ar,,,,https://instagram.com/aiadyspa,,,,Beauty & Health,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/aiady-01921e56-b0ec-f056-7f7e-2020100abb4f,"paymentLink, split-in-4",http_429,
AL ATEEQ TRADING ESTABLISHMENT,ركن العتيق,"Home, Furniture & Appliances",Low,35,https://instagram.com/alateeqcorner?igsh=MTAyNGh4NW1wcmlpMQ==,,,,https://instagram.com/alateeqcorner,,,,Home & Appliances,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/al-ateeq-trading-establishment-019243d4-986a-1528-afe5-369c6d046fd4,"paymentLink, split-in-4",skipped_social,
Al Mada Medical Company,Al Mada Medical Company,Beauty & Personal Care,Low,35,https://almadaclinic.co,,,,,,,,"Beauty & Health, Clinics, الصحة",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/al-mada-derme-esthetique-clinique,"paymentLink, qrFlow, split-in-4",URLError,"We take deep pride in its services and facilities to ensure that every procedure is a safe, comfortable, satisfying, and most effective service for clients."
Al-Fakhama Industrial Factory Company,مفتاح الفخامة للأثاث والديكور,"Home, Furniture & Appliances",Low,35,https://instagram.com/fakhama_co,,,,https://instagram.com/fakhama_co,,,,Home & Appliances,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/al-fakhama-industrial-factory-company-019358cc-ebf4-428f-e347-ec07077355f3,"paymentLink, split-in-4",skipped_social,
Alfarash Alarabi,Alfarash Alarabi,"Home, Furniture & Appliances",Low,35,https://instagram.com/alfarashalarabi,,,,https://instagram.com/alfarashalarabi,,,,Home & Appliances,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/al-farash-al-arabi-0189526f-0b35-72f2-10bf-74a0f2295ab9,"paymentLink, split-in-4",skipped_social,
Alghanim,Alghanim,Electronics & Tech,Low,35,https://alghanim-store.com,,,,,,,,"Home & Appliances, Technology & Electronics, الإلكترونيات ",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/alghanim-store,"paymentLink, split-in-4",http_403,"We specialize in air conditioning, home appliances and electronics."
Ali World,عالم علي,Fashion & Apparel,Low,35,https://instagram.com/aliworld.ksa?igsh=MTBpMDhweHMyNDI4dQ==,,,,https://instagram.com/aliworld.ksa,,,,Fashion,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-lm-ly-ltjry-0192f5d7-656b-abe3-58e9-6f3843ffea3d,"paymentLink, split-in-4",http_429,
Alia Funky kitchen,Alia Funky kitchen,Grocery & Supermarket,Low,35,https://instagram.com/funky.kitchen/profilecard?igsh=cDVnamFhZG5xMXlk,,,,https://instagram.com/funky.kitchen,,,,Supermarket,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-skr-whl-ltjry-01931b99-43d7-5ccf-43e1-4b61e78c5a95,"paymentLink, split-in-4",skipped_social,
aljawharamall,مجمع الجوهرة,General Retail,Low,35,https://instagram.com/aljawharaksa1?igshid=YmMyMTA2M2Y=,,,,https://instagram.com/aljawharaksa1,,,,Others,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/aljawharamall-018d6a0a-c486-5d36-b007-556242467b79,"paymentLink, split-in-4",skipped_social,
Aljohara Al Aneeqa Cleaning,Aljohara Al Aneeqa Cleaning,General Retail,Low,35,https://instagram.com/aljawhara_cleaning?igsh=MWJ6djhzbnkzeGw5Nw==,,,,https://instagram.com/aljawhara_cleaning,,,,Others,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/aljohara-al-aneeqa-cleaning-0191adb2-1a40-46e3-9389-8d41629957c8,"paymentLink, split-in-4",skipped_social,
Aljomaih Tyres,Aljomaih Tyres,Automotive,Low,35,https://instagram.com/aljomaih_tyres,,,,https://instagram.com/aljomaih_tyres,,,,Automotive,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/aljomaih-tyres,"paymentLink, split-in-4",skipped_social,Tyres & Service
AllSaints,AllSaints,Fashion & Apparel,Low,35,https://allsaints.me/en-ae,,,,,,,,"Fashion, Fashion & Apparel, الملابس",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/allsaints,"deals, paymentLink, qrFlow, split-in-4",RuntimeError,
Almaali Hospital,Almaali Hospital,Beauty & Personal Care,Low,35,https://instagram.com/AlmaaliHospital,,,,https://instagram.com/almaalihospital,,,,"Beauty & Health, Clinics",Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/almaali-hospital-01920a88-ce70-7559-f1c7-ba7fd56ff10f,"paymentLink, split-in-4",http_429,
Almajed Oud,الماجد للعود,Beauty & Personal Care,Low,35,https://almajed4oud.com/en-sa,,,,,,,," متاجر متنوعة, Beauty & Health",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/almajed-oud-01895330-e858-1fb5-6434-3370e79da072,"qrFlow, split-in-4",URLError,
AlNasser Bikes,AlNasser Bikes,Sports & Fitness,Low,35,https://instagram.com/alnasser_bikes,,,,https://instagram.com/alnasser_bikes,,,,Fitness & Outdoor,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/alnasser-bikes-01908c89-f2b0-4413-e315-def845b4506c,"paymentLink, split-in-4",skipped_social,To sell and repair all kind of bicycles and E-scooters
Alraqeeem,Alraqeeem,"Home, Furniture & Appliances",Low,35,https://alraqeeem.com,,,,,,,,"Arts & Crafts, Home & Garden, المنزل",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/alraqeeem,"paymentLink, split-in-4",RuntimeError,
alsaffar work shop,مؤسسة الصفار للحداده والالمنيوم,"Home, Furniture & Appliances",Low,35,https://instagram.com/alsaffar_workshop?igsh=MWx6Mmx4Ymk2anM1Ng==,,,,https://instagram.com/alsaffar_workshop,,,,Home & Appliances,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/alsaffar-work-shop-0190493d-9e40-e578-fadd-f11c426bf035,"paymentLink, split-in-4",URLError,"""Doors, windows, railings  We work in the home finishing sector and have more than 40 years of experience"""
alsaket fabrics,الساكت للوازم الخياطة و الأقمشة,Fashion & Apparel,Low,35,https://instagram.com/alsaket44?igsh=d2tjb3FtOGxoZTBw,,,,https://instagram.com/alsaket44,,,,Fashion,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/lskt-llwzm-lkhyt-w-l-qmsh-0192b896-6603-0e42-be7a-4f8b97e11492,"paymentLink, split-in-4",skipped_social,
Alseekh Restaurant,Alseekh Restaurant,Grocery & Supermarket,Low,35,https://instagram.com/alseekh,,,,https://instagram.com/alseekh,,,,Supermarket,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/alseekh-restaurant-019192e2-7c84-d2e8-d5bf-dfa666396817,"paymentLink, split-in-4",skipped_social,
Alshammasi Furniture,Alshammasi Furniture,"Home, Furniture & Appliances",Low,35,https://alshammasifurn.com/en,,,,,,,,"Home & Appliances, Home & Garden",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/alshammasi-furniture-018953ed-d9d7-b70d-a03a-042d691d2a5e,"paymentLink, split-in-4",http_404,
Alwaha Fnoon,فنون الواحة,"Home, Furniture & Appliances",Low,35,https://instagram.com/alwahafnoon?igsh=cGJ0YzUwYW43bmQz,,,,https://instagram.com/alwahafnoon,,,,Home & Appliances,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/shrk-fnwn-lwh-llsn-shrk-shkhs-whd-0193439f-464a-fbba-ba3d-d2c8a3aec409,"paymentLink, split-in-4",skipped_social,
Alyasmeen Jewelry paylink,مجوهرات الياسمين,Fashion & Apparel,Low,35,https://instagram.com/yasmeen_jewllery,,,,https://instagram.com/yasmeen_jewllery,,,,Fashion,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/yasmeen-jewelry-,"paymentLink, split-in-4",http_429,Experts specializing in buying and selling precious jewelry for more than 30 years.  We are happy to serve you ✨
Anmar,أنمار,Kids & Toys,Low,35,https://instagram.com/anmar_9090?igsh=cjVjOGM4ZTg1Z3c0,,,,https://instagram.com/anmar_9090,,,,Kids & Toys,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ssh-nln-ll-b-ltfl-0192a95c-4d97-8943-7c6c-7c31b542c22d,"paymentLink, split-in-4",skipped_social,
Anna Ibdaa,Anna Ibdaa,"Home, Furniture & Appliances",Low,35,https://instagram.com/ibda3_carpentry?igsh=M3gwZ2NyYjRyMHZu,,,,https://instagram.com/ibda3_carpentry,,,,Home & Appliances,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/anna-ibdaa-019228c7-9b13-2de0-e41e-5176048fa5e3,"paymentLink, split-in-4",skipped_social,
ANTIKAH STORE,ANTIKAH STORE,"Home, Furniture & Appliances",Low,35,https://instagram.com/antikah_taif?igsh=aGF5emNyY2lteXR3,,,,https://instagram.com/antikah_taif,,,,Home & Appliances,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/antikah-store-018f4904-6b7b-913e-a340-b59c52d7fa74,"paymentLink, split-in-4",skipped_social,
Arab Therapy for Medical Care,Arab Therapy for Medical Care,Beauty & Personal Care,Low,35,https://instagram.com/arabtherapyofficial,,,,https://instagram.com/arabtherapyofficial,,,,"Beauty & Health, Training & Courses",Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/arab-therapy-for-medical-care-01928ed8-93e5-f796-41ca-116c8cc82e78,"paymentLink, split-in-4",skipped_social,
Areej Extention Beauty,اريج اكستنشن بيوتي,Beauty & Personal Care,Low,35,https://instagram.com/areejextention?igshid=OGQ5ZDc2ODk2ZA==,,,,https://instagram.com/areejextention,,,,Beauty & Health,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/areej-extention-beauty,"paymentLink, split-in-4",http_429,"Areej Extension Beauty: Transforming your look with luxurious, high-quality, and100% Remy hair extensions using unique technology."
arqest,arqest,"Home, Furniture & Appliances",Low,35,https://instagram.com/arqesthoods?igsh=MThxazhxeHVxanNlNQ==,,,,https://instagram.com/arqesthoods,,,,Home & Appliances,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/arqest-018991b6-c633-fb99-9706-7e7ffcc2f3ba,"paymentLink, split-in-4",skipped_social,Cooker hoods
Artist Ahoud Alharthy,Artist Ahoud Alharthy,Beauty & Personal Care,Low,35,https://instagram.com/ahoudalharthi_?igsh=MWVtOGpueGc0ejhqZQ==,,,,https://instagram.com/ahoudalharthi_,,,,Beauty & Health,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/artist-ahoud-alharthy-01922e05-7cfa-a3fd-a6b6-ec09cd16a32f,"paymentLink, split-in-4",skipped_social,
Ashjar,Ashjar,"Home, Furniture & Appliances",Low,35,https://ashjar.sa,,,,,,,,"Home & Appliances, Home & Garden, المنزل",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/ashjar,"paymentLink, split-in-4",RuntimeError,
attrayant.sa,attrayant.sa,Beauty & Personal Care,Low,35,https://salla.sa/attrayant.sa,,,,,,,,"Health & Wellness, Others, الصحة",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/attrayant-sa-0193f4ec-b683-9815-5917-5cfb4f214850,"paymentLink, split-in-4",http_410,
Azor Salon & Spa,Azor Salon & Spa,Beauty & Personal Care,Low,35,https://instagram.com/azor.sa?hl=ar,,,,https://instagram.com/azor.sa,,,,Beauty & Health,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/azor-salon-and-spa-018e5bc1-367a-b358-4f42-fe18f96f9094,"paymentLink, split-in-4",skipped_social,AZOR is the Spanish word for the large hawk: “Goshawk”.
Badayie Aaharq,Badayie Aaharq,Electronics & Tech,Low,35,https://bdyistore.com,,,,,,,,"Electronics, Technology & Electronics",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/badayie-aaharq-01890d36-7d44-ac4c-148f-157af1c1764e,"paymentLink, split-in-4",URLError,
Basmatdal,متجر بسمه,Fashion & Apparel,Low,35,https://basma-telecom.com,,,,,,,,"Fashion & Apparel, Others, الملابس",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/mtjr-bsmh-018d542e-8c09-561b-e8b9-4a19303684d1,"paymentLink, split-in-4",http_540,"A Saudi store specializing in selling accessories and providing the latest in the world of technology. As for the price, Basma store ensures it's the lowest."
Befitness,Befitness,Sports & Fitness,Low,35,https://instagram.com/befitness_yanbu,,,,https://instagram.com/befitness_yanbu,,,,Fitness & Outdoor,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/befitness-01900610-1fc6-79c6-7ffb-eba4789de151,"paymentLink, split-in-4",skipped_social,
Benti Nawara,Benti Nawara,Fashion & Apparel,Low,35,https://instagram.com/benti.noura?hl=en,,,,https://instagram.com/benti.noura,,,,Fashion,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/benti-nawara-01927173-035b-aee1-63ff-aa73f45206dc,"paymentLink, split-in-4",skipped_social,
Bhaya,Bhaya,Beauty & Personal Care,Low,35,https://instagram.com/bhayasalon,,,,https://instagram.com/bhayasalon,,,,"Beauty & Health, Salons & Spas",Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/bhaya-01916412-ffc4-2568-a1b6-1476d0545a96,"paymentLink, split-in-4",skipped_social,
Big Cart,Big Cart,Electronics & Tech,Low,35,https://bigcartsa.com/ar?tracking=63d81d76c9973,,,,,,,,"Electronics, Technology & Electronics, الإلكترونيات ",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/big-cart,"paymentLink, split-in-4",RuntimeError,
